"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Megakaryocyte","Megakaryocyte","LGALS9","PTPRC","Ligand","Receptor",0.173903322764713
"Megakaryocyte","Megakaryocyte","LGALS9","CD47","Ligand","Receptor",0.178258534972786
"Megakaryocyte","Megakaryocyte","LGALS9","HAVCR2","Ligand","Receptor",0.123144835155697
"Megakaryocyte","Megakaryocyte","HLA-B","CD3D","Ligand","Receptor",1.89826783242937
"Megakaryocyte","Megakaryocyte","HLA-B","CD3G","Ligand","Receptor",1.5777534519601
"Megakaryocyte","Megakaryocyte","HLA-B","KLRD1","Ligand","Receptor",1.56466421773123
"Megakaryocyte","Megakaryocyte","HLA-DRA","LAG3","Ligand","Receptor",0.254716463837128
"Megakaryocyte","Megakaryocyte","HLA-DQA1","LAG3","Ligand","Receptor",0.0895115551322928
"Megakaryocyte","Megakaryocyte","HLA-A","CD3D","Ligand","Receptor",1.15612715850606
"Megakaryocyte","Megakaryocyte","HLA-A","CD3G","Ligand","Receptor",0.835612778036794
"Megakaryocyte","Megakaryocyte","HLA-DPB1","LAG3","Ligand","Receptor",0.287932677024352
"Megakaryocyte","Megakaryocyte","APP","CD74","Ligand","Receptor",1.05063787075297
"Megakaryocyte","Megakaryocyte","APP","RPSA","Ligand","Receptor",1.24086911161884
"Megakaryocyte","Megakaryocyte","CD48","CD2","Ligand","Receptor",0.339086156770532
"Megakaryocyte","Megakaryocyte","HLA-C","CD3D","Ligand","Receptor",1.32774698313692
"Megakaryocyte","Megakaryocyte","HLA-C","CD3G","Ligand","Receptor",1.00723260266765
"Megakaryocyte","Megakaryocyte","ICAM2","ITGAM","Ligand","Receptor",0.293580617477656
"Megakaryocyte","Megakaryocyte","HLA-E","KLRC1","Ligand","Receptor",0.507748745789868
"Megakaryocyte","Megakaryocyte","HLA-DPA1","LAG3","Ligand","Receptor",0.340637184243184
"Megakaryocyte","Megakaryocyte","B2M","CD3D","Ligand","Receptor",2.82326481760696
"Megakaryocyte","Megakaryocyte","B2M","CD3G","Ligand","Receptor",2.50275043713769
"Megakaryocyte","Megakaryocyte","B2M","CD247","Ligand","Receptor",2.43577979463649
"Megakaryocyte","Megakaryocyte","B2M","KLRC1","Ligand","Receptor",2.48697431675507
"Megakaryocyte","Megakaryocyte","B2M","KLRD1","Ligand","Receptor",2.48966120290883
"Megakaryocyte","Megakaryocyte","CLEC2D","KLRB1","Ligand","Receptor",0.299949118579502
"Megakaryocyte","Megakaryocyte","PF4","CXCR3","Ligand","Receptor",0.238553602359787
"Megakaryocyte","Megakaryocyte","CCL5","CXCR3","Ligand","Receptor",0.251000472085529
"Megakaryocyte","Megakaryocyte","GRN","TNFRSF1B","Ligand","Receptor",0.262895326051199
"Megakaryocyte","Megakaryocyte","COPA","CD74","Ligand","Receptor",1.0376833593243
"Megakaryocyte","Megakaryocyte","HMGB1","HAVCR2","Ligand","Receptor",0.600631526732287
"Megakaryocyte","Megakaryocyte","GZMB","IGF2R","Ligand","Receptor",0.523454144000275
"Megakaryocyte","Megakaryocyte","C1QB","C1QBP","Ligand","Receptor",0.402750947223126
"Megakaryocyte","Megakaryocyte","HMGB1","CXCR4","Ligand","Receptor",0.693483586754887
"Megakaryocyte","Fibroblast","LGALS9","MET","Ligand","Receptor",0.140073279582032
"Megakaryocyte","Fibroblast","LGALS9","CD44","Ligand","Receptor",0.199661356768637
"Megakaryocyte","Fibroblast","APP","RPSA","Ligand","Receptor",1.41971609318795
"Megakaryocyte","Fibroblast","ITGB2","THY1","Ligand","Receptor",0.370060114967972
"Megakaryocyte","Fibroblast","B2M","TFRC","Ligand","Receptor",2.44446118863151
"Megakaryocyte","Fibroblast","TIGIT","PVR","Ligand","Receptor",0.115249901719141
"Megakaryocyte","Fibroblast","COL6A3","ITGA10","Ligand","Receptor",0.192629350131719
"Megakaryocyte","Fibroblast","COL6A3","ITGA11","Ligand","Receptor",0.208463020521887
"Megakaryocyte","Fibroblast","PF4","SDC2","Ligand","Receptor",0.111301832117534
"Megakaryocyte","Fibroblast","CCL5","SDC1","Ligand","Receptor",0.115520246688684
"Megakaryocyte","Fibroblast","GPI","AMFR","Ligand","Receptor",0.127012082489085
"Megakaryocyte","Fibroblast","MFNG","NOTCH2","Ligand","Receptor",0.133135323309407
"Megakaryocyte","Fibroblast","LTB","TNFRSF1A","Ligand","Receptor",0.644950676571749
"Megakaryocyte","Fibroblast","HLA-B","CANX","Ligand","Receptor",1.54715706390457
"Megakaryocyte","Fibroblast","VIM","CD44","Ligand","Receptor",0.851132727580104
"Megakaryocyte","Fibroblast","LMAN1","MCFD2","Ligand","Receptor",0.21917721929836
"Megakaryocyte","Fibroblast","FABP5","RXRA","Ligand","Receptor",0.254617372975737
"Megakaryocyte","Fibroblast","LGALS9","SLC1A5","Ligand","Receptor",0.196638366318786
"Megakaryocyte","Fibroblast","LGALS3","ENG","Ligand","Receptor",0.2504634738529
"Megakaryocyte","MSC","LGALS9","LRP1","Ligand","Receptor",0.510894705298521
"Megakaryocyte","MSC","LGALS9","CD47","Ligand","Receptor",0.261829468649693
"Megakaryocyte","MSC","LGALS9","MRC2","Ligand","Receptor",0.276760341971938
"Megakaryocyte","MSC","HLA-DRA","CD4","Ligand","Receptor",0.249433392865408
"Megakaryocyte","MSC","HLA-DQA1","CD4","Ligand","Receptor",0.0842284841605733
"Megakaryocyte","MSC","HLA-A","APLP2","Ligand","Receptor",0.886874988164438
"Megakaryocyte","MSC","HLA-DPB1","CD4","Ligand","Receptor",0.282649606052632
"Megakaryocyte","MSC","APP","CD74","Ligand","Receptor",0.924975914672612
"Megakaryocyte","MSC","APP","LRP1","Ligand","Receptor",0.481337968810787
"Megakaryocyte","MSC","ITGB2","THY1","Ligand","Receptor",0.379891285779412
"Megakaryocyte","MSC","CD99","CD81","Ligand","Receptor",0.551178496271327
"Megakaryocyte","MSC","HLA-DPA1","CD4","Ligand","Receptor",0.335354113271464
"Megakaryocyte","MSC","HLA-DMA","CD4","Ligand","Receptor",0.21004302986383
"Megakaryocyte","MSC","HLA-DMB","CD4","Ligand","Receptor",0.0819298809793356
"Megakaryocyte","MSC","B2M","TFRC","Ligand","Receptor",2.41664315690343
"Megakaryocyte","MSC","ALCAM","CHL1","Ligand","Receptor",0.423860622474205
"Megakaryocyte","MSC","ALCAM","NRP1","Ligand","Receptor",0.226675011827961
"Megakaryocyte","MSC","COL6A3","ITGA10","Ligand","Receptor",0.290275085007169
"Megakaryocyte","MSC","COL6A3","ITGA1","Ligand","Receptor",0.311302407727597
"Megakaryocyte","MSC","COL6A3","ITGA11","Ligand","Receptor",0.26277741613497
"Megakaryocyte","MSC","PF4","SDC2","Ligand","Receptor",0.1739882532152
