"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Neural","Neural","SEMA7A","ITGA1","Ligand","Receptor",0.140391794326036
"Neural","Neural","HLA-A","APLP2","Ligand","Receptor",1.43488263594856
"Neural","Neural","CD55","CR1","Ligand","Receptor",0.327104455615061
"Neural","Neural","CDH1","PTPRF","Ligand","Receptor",0.0341357534686196
"Neural","Neural","B2M","TFRC","Ligand","Receptor",2.39694643231269
"Neural","Neural","TNFSF13B","TFRC","Ligand","Receptor",0.359480782804264
"Neural","Neural","TF","TFRC","Ligand","Receptor",0.360233847181849
"Neural","Neural","C4B","CR1","Ligand","Receptor",0.0657514166636834
"Neural","Neural","BSG","SLC16A1","Ligand","Receptor",1.82979025917303
"Neural","Neural","ADAM10","TSPAN5","Ligand","Receptor",0.164758977000889
"Neural","Neural","CALM2","AQP1","Ligand","Receptor",0.574022967737311
"Neural","Neural","ICAM4","RHAG","Ligand","Receptor",0.333507145390937
"Neural","Neural","LGALS9","SLC1A5","Ligand","Receptor",0.34752323845333
"Neural","MSC","LGALS9","LRP1","Ligand","Receptor",0.23725198086563
"Neural","MSC","LGALS9","CD47","Ligand","Receptor",0.199877948616978
"Neural","MSC","LGALS9","MRC2","Ligand","Receptor",0.256882144786372
"Neural","MSC","ADAM10","TSPAN15","Ligand","Receptor",0.104832656203376
"Neural","MSC","ADAM10","NOTCH2","Ligand","Receptor",0.124964598303109
"Neural","MSC","SEMA7A","ITGA1","Ligand","Receptor",0.281104675792788
"Neural","MSC","HLA-DQA1","CD4","Ligand","Receptor",0.0981327766251217
"Neural","MSC","HLA-DQA1","LAG3","Ligand","Receptor",0.0665798739199543
"Neural","MSC","HLA-A","ERBB2","Ligand","Receptor",1.40646622575487
"Neural","MSC","HLA-A","APLP2","Ligand","Receptor",1.46313902428477
"Neural","MSC","APP","LRP1","Ligand","Receptor",0.206992696632648
"Neural","MSC","CD55","ADGRE5","Ligand","Receptor",0.318958275289501
