Ligand,Receptor,Ligand.Cluster,Receptor.Cluster,isReceptor_fst,isReceptor_scn,MeanLR
CALM2,MYLK,Neural,Fibroblast,False,False,2.406
JAM3,JAM3,Myeloid,Myeloid,False,False,2.185
PSEN1,CD44,MSC,Fibroblast,False,True,2.397
HAS2,CD44,Fibroblast,Fibroblast,False,True,2.4
CALM1,INSR,Neural,MSC,False,True,2.609
TGFB1,TGFBR1,MSC,MSC,False,True,2.334
CALM1,MYLK,Neural,Fibroblast,False,False,2.637
CALM3,SELL,Neural,Megakaryocyte,False,False,2.406
CD44,MET,Fibroblast,Fibroblast,True,True,2.47
CALM3,MYLK,Neural,Fibroblast,False,False,2.411
PIGK,AMFR,MSC,Fibroblast,False,False,2.3369999999999997
SDC1,MET,MSC,Fibroblast,False,True,2.577
CALM3,INSR,Neural,MSC,False,True,2.383
PSEN1,NOTCH2,MSC,MSC,False,True,2.418
PSEN1,NOTCH2,MSC,Fibroblast,False,True,2.3890000000000002
NAMPT,INSR,Neural,MSC,False,True,2.334
NAMPT,INSR,MSC,MSC,False,True,2.513
CCL5,SDC1,Fibroblast,MSC,False,False,2.38
CCL5,SDC1,Megakaryocyte,MSC,False,False,2.459
THBS1,SDC1,Neural,MSC,False,False,2.366
THBS1,SDC1,MSC,MSC,False,False,2.539
HRAS,SDC2,Fibroblast,MSC,False,False,2.787
HRAS,SDC2,Fibroblast,Fibroblast,False,False,2.521
CALM1,SELL,Neural,Megakaryocyte,False,False,2.6319999999999997
CALM1,SELL,Neural,Myeloid,False,False,2.485
UBA52,TGFBR1,Megakaryocyte,Neural,False,True,2.421
UBA52,TGFBR1,Megakaryocyte,MSC,False,True,2.412
ADIPOR1,ADIPOR2,Neural,Neural,True,True,2.171
ADIPOR1,ADIPOR2,Fibroblast,Neural,True,True,2.157
FZR1,PTPRM,Neural,MSC,False,True,2.463
FZR1,PTPRM,MSC,MSC,False,True,2.56
CALM1,PTPRA,Neural,Neural,False,False,2.526
CALM1,PTPRA,Neural,MSC,False,False,2.6060000000000003
TNFSF12,TNFRSF12A,Neural,Fibroblast,False,True,2.39
TNFSF12,TNFRSF12A,MSC,Fibroblast,False,True,2.596
CALM2,INSR,Neural,MSC,False,True,2.378
CALM2,INSR,MSC,MSC,False,True,2.3369999999999997
ADAM15,ITGA5,MSC,Fibroblast,False,True,2.6069999999999998
ADAM15,ITGA5,Fibroblast,Fibroblast,False,True,2.679
ADAM15,ITGA5,Megakaryocyte,Fibroblast,False,True,2.444
IGF2R,INSR,MSC,MSC,True,True,2.46
IGF2R,INSR,Megakaryocyte,MSC,True,True,2.434
IGF2R,INSR,Megakaryocyte,Myeloid,True,True,2.276
IGF2R,IGF2R,Megakaryocyte,MSC,True,True,2.4459999999999997
IGF2R,IGF2R,MSC,Megakaryocyte,True,True,2.4459999999999997
IGF2R,IGF2R,Megakaryocyte,Megakaryocyte,True,True,2.421
WNT5A,RYK,Neural,MSC,False,True,2.355
WNT5A,RYK,Fibroblast,MSC,False,True,2.513
WNT5A,RYK,Fibroblast,Myeloid,False,True,2.32
HRAS,CAV1,MSC,Fibroblast,False,False,2.479
HRAS,CAV1,Fibroblast,MSC,False,False,2.633
HRAS,CAV1,Fibroblast,Fibroblast,False,False,2.779
PSEN1,NCSTN,Neural,MSC,False,False,2.5469999999999997
PSEN1,NCSTN,MSC,MSC,False,False,2.594
PSEN1,NCSTN,Fibroblast,MSC,False,False,2.497
TGFB1,CAV1,Neural,Fibroblast,False,False,2.441
TGFB1,CAV1,MSC,Fibroblast,False,False,2.569
TGFB1,CAV1,Fibroblast,Fibroblast,False,False,2.5610000000000004
COL4A1,CD47,MSC,MSC,False,True,2.523
COL4A1,CD47,Fibroblast,MSC,False,True,2.595
COL4A1,CD47,Fibroblast,Megakaryocyte,False,True,2.457
TGM2,ITGB1,MSC,MSC,False,True,2.525
TGM2,ITGB1,Fibroblast,MSC,False,True,2.813
TGM2,ITGB1,Fibroblast,Fibroblast,False,True,2.658
ADAM12,ITGB1,MSC,MSC,False,True,2.5980000000000003
ADAM12,ITGB1,Fibroblast,MSC,False,True,2.7319999999999998
ADAM12,ITGB1,Fibroblast,Fibroblast,False,True,2.576
HMGB1,SDC1,MSC,MSC,False,False,2.5660000000000003
HMGB1,SDC1,MSC,Fibroblast,False,False,2.395
HMGB1,SDC1,Megakaryocyte,MSC,False,False,2.541
VEGFA,GPC1,MSC,Fibroblast,False,False,2.457
VEGFA,GPC1,Fibroblast,Fibroblast,False,False,2.387
VEGFA,GPC1,Myeloid,Fibroblast,False,False,2.971
DCUN1D1,MET,MSC,Fibroblast,False,True,2.3569999999999998
DCUN1D1,MET,Myeloid,Fibroblast,False,True,2.2640000000000002
DCUN1D1,MET,MSC,Myeloid,False,True,2.2
SDC1,HSPG2,MSC,MSC,False,False,2.589
SDC1,HSPG2,MSC,Fibroblast,False,False,2.471
SDC1,HSPG2,Fibroblast,MSC,False,False,2.418
