"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Neural","Neural","CAV1|R","HMGA1|TF","Receptor","Transcription Factor",0.93830559248408
"Neural","Neural","INSR|R","HMGA1|TF","Receptor","Transcription Factor",0.93830559248408
"Neural","Neural","FGFR4|R","SOX10|TF","Receptor","Transcription Factor",0.787005649237977
"Neural","Neural","NOTCH2|R","TCF3|TF","Receptor","Transcription Factor",0.613283609144461
"Neural","Neural","LRP6|R","TCF3|TF","Receptor","Transcription Factor",0.613283609144461
"Neural","Neural","INSR|R","TERF1|TF","Receptor","Transcription Factor",0.685986492531964
"Fibroblast","Fibroblast","BMPR2|R","FOXL1|TF","Receptor","Transcription Factor",0.272314577786355
"Neural","Neural","ARNT2|TF","JAM3|L","Transcription Factor","Ligand",0.707177001483514
"Neural","Neural","FOXD3|TF","LGALS1|L","Transcription Factor","Ligand",0.264215045713254
"Neural","Neural","HDX|TF","JAM3|L","Transcription Factor","Ligand",0.514200291848508
"Neural","Neural","PKNOX2|TF","BMP4|L","Transcription Factor","Ligand",0.323313100259232
"Neural","Neural","PKNOX2|TF","JAM3|L","Transcription Factor","Ligand",0.323313100259232
"Neural","Neural","SOX5|TF","LAMC1|L","Transcription Factor","Ligand",0.27373780019622
"Neural","Neural","TSC22D1|TF","JAM3|L","Transcription Factor","Ligand",0.256677808305508
"Neural","Neural","VENTX|TF","COL6A3|L","Transcription Factor","Ligand",0.0645567050866848
"Neural","Neural","ZFP69B|TF","CALR|L","Transcription Factor","Ligand",0.313954239499562
"Neural","Neural","ZIC2|TF","APOE|L","Transcription Factor","Ligand",0.725297894036324
"Neural","Neural","ZNF140|TF","SEMA7A|L","Transcription Factor","Ligand",0.727449767946445
"Neural","Neural","ZNF25|TF","JAM3|L","Transcription Factor","Ligand",0.505265711416573
"Neural","Neural","ZNF296|TF","LAMC1|L","Transcription Factor","Ligand",0.530678877337881
"Neural","Neural","ZNF341|TF","COL6A3|L","Transcription Factor","Ligand",0.841948045438741
"Neural","Neural","ZNF536|TF","SEMA7A|L","Transcription Factor","Ligand",0.876211544382253
