,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
0,Neural,Fibroblast,CALM2,MYLK,Ligand,Receptor,2.406
1,Myeloid,Myeloid,JAM3,JAM3,Ligand,Receptor,2.185
2,MSC,Fibroblast,PSEN1,CD44,Ligand,Receptor,2.397
3,Fibroblast,Fibroblast,HAS2,CD44,Ligand,Receptor,2.4
4,Neural,MSC,CALM1,INSR,Ligand,Receptor,2.609
5,MSC,MSC,TGFB1,TGFBR1,Ligand,Receptor,2.334
6,Neural,Fibroblast,CALM1,MYLK,Ligand,Receptor,2.637
7,Neural,Megakaryocyte,CALM3,SELL,Ligand,Receptor,2.406
8,Fibroblast,Fibroblast,CD44,MET,Ligand,Receptor,2.47
9,Neural,Fibroblast,CALM3,MYLK,Ligand,Receptor,2.411
10,MSC,Fibroblast,PIGK,AMFR,Ligand,Receptor,2.337
11,MSC,Fibroblast,SDC1,MET,Ligand,Receptor,2.577
12,Neural,MSC,CALM3,INSR,Ligand,Receptor,2.383
13,MSC,MSC,PSEN1,NOTCH2,Ligand,Receptor,2.418
14,MSC,Fibroblast,PSEN1,NOTCH2,Ligand,Receptor,2.389
15,Neural,MSC,NAMPT,INSR,Ligand,Receptor,2.334
16,MSC,MSC,NAMPT,INSR,Ligand,Receptor,2.513
17,Fibroblast,MSC,CCL5,SDC1,Ligand,Receptor,2.38
18,Megakaryocyte,MSC,CCL5,SDC1,Ligand,Receptor,2.459
19,Neural,MSC,THBS1,SDC1,Ligand,Receptor,2.366
20,MSC,MSC,THBS1,SDC1,Ligand,Receptor,2.539
21,Fibroblast,MSC,HRAS,SDC2,Ligand,Receptor,2.787
22,Fibroblast,Fibroblast,HRAS,SDC2,Ligand,Receptor,2.521
23,Neural,Megakaryocyte,CALM1,SELL,Ligand,Receptor,2.632
24,Neural,Myeloid,CALM1,SELL,Ligand,Receptor,2.485
25,Megakaryocyte,Neural,UBA52,TGFBR1,Ligand,Receptor,2.421
26,Megakaryocyte,MSC,UBA52,TGFBR1,Ligand,Receptor,2.412
27,Neural,Neural,ADIPOR1,ADIPOR2,Ligand,Receptor,2.171
28,Fibroblast,Neural,ADIPOR1,ADIPOR2,Ligand,Receptor,2.157
29,Neural,MSC,FZR1,PTPRM,Ligand,Receptor,2.463
30,MSC,MSC,FZR1,PTPRM,Ligand,Receptor,2.56
31,Neural,Neural,CALM1,PTPRA,Ligand,Receptor,2.526
32,Neural,MSC,CALM1,PTPRA,Ligand,Receptor,2.6060000000000003
33,Neural,Fibroblast,TNFSF12,TNFRSF12A,Ligand,Receptor,2.39
34,MSC,Fibroblast,TNFSF12,TNFRSF12A,Ligand,Receptor,2.596
35,Neural,MSC,CALM2,INSR,Ligand,Receptor,2.378
36,MSC,MSC,CALM2,INSR,Ligand,Receptor,2.337
37,MSC,Fibroblast,ADAM15,ITGA5,Ligand,Receptor,2.607
38,Fibroblast,Fibroblast,ADAM15,ITGA5,Ligand,Receptor,2.679
39,Megakaryocyte,Fibroblast,ADAM15,ITGA5,Ligand,Receptor,2.444
40,MSC,MSC,IGF2R,INSR,Ligand,Receptor,2.46
41,Megakaryocyte,MSC,IGF2R,INSR,Ligand,Receptor,2.434
42,Megakaryocyte,Myeloid,IGF2R,INSR,Ligand,Receptor,2.276
43,Megakaryocyte,MSC,IGF2R,IGF2R,Ligand,Receptor,2.446
44,MSC,Megakaryocyte,IGF2R,IGF2R,Ligand,Receptor,2.446
45,Megakaryocyte,Megakaryocyte,IGF2R,IGF2R,Ligand,Receptor,2.421
46,Neural,MSC,WNT5A,RYK,Ligand,Receptor,2.355
47,Fibroblast,MSC,WNT5A,RYK,Ligand,Receptor,2.513
48,Fibroblast,Myeloid,WNT5A,RYK,Ligand,Receptor,2.32
49,MSC,Fibroblast,HRAS,CAV1,Ligand,Receptor,2.479
50,Fibroblast,MSC,HRAS,CAV1,Ligand,Receptor,2.633
51,Fibroblast,Fibroblast,HRAS,CAV1,Ligand,Receptor,2.779
52,Neural,MSC,PSEN1,NCSTN,Ligand,Receptor,2.547
53,MSC,MSC,PSEN1,NCSTN,Ligand,Receptor,2.594
54,Fibroblast,MSC,PSEN1,NCSTN,Ligand,Receptor,2.497
55,Neural,Fibroblast,TGFB1,CAV1,Ligand,Receptor,2.441
56,MSC,Fibroblast,TGFB1,CAV1,Ligand,Receptor,2.569
57,Fibroblast,Fibroblast,TGFB1,CAV1,Ligand,Receptor,2.5610000000000004
58,MSC,MSC,COL4A1,CD47,Ligand,Receptor,2.523
59,Fibroblast,MSC,COL4A1,CD47,Ligand,Receptor,2.595
60,Fibroblast,Megakaryocyte,COL4A1,CD47,Ligand,Receptor,2.457
61,MSC,MSC,TGM2,ITGB1,Ligand,Receptor,2.525
62,Fibroblast,MSC,TGM2,ITGB1,Ligand,Receptor,2.813
63,Fibroblast,Fibroblast,TGM2,ITGB1,Ligand,Receptor,2.658
64,MSC,MSC,ADAM12,ITGB1,Ligand,Receptor,2.5980000000000003
65,Fibroblast,MSC,ADAM12,ITGB1,Ligand,Receptor,2.732
66,Fibroblast,Fibroblast,ADAM12,ITGB1,Ligand,Receptor,2.576
67,MSC,MSC,HMGB1,SDC1,Ligand,Receptor,2.5660000000000003
68,MSC,Fibroblast,HMGB1,SDC1,Ligand,Receptor,2.395
69,Megakaryocyte,MSC,HMGB1,SDC1,Ligand,Receptor,2.541
70,MSC,Fibroblast,VEGFA,GPC1,Ligand,Receptor,2.457
71,Fibroblast,Fibroblast,VEGFA,GPC1,Ligand,Receptor,2.387
72,Myeloid,Fibroblast,VEGFA,GPC1,Ligand,Receptor,2.971
73,MSC,Fibroblast,DCUN1D1,MET,Ligand,Receptor,2.357
74,Myeloid,Fibroblast,DCUN1D1,MET,Ligand,Receptor,2.264
75,MSC,Myeloid,DCUN1D1,MET,Ligand,Receptor,2.2
76,MSC,MSC,SDC1,HSPG2,Ligand,Receptor,2.589
77,MSC,Fibroblast,SDC1,HSPG2,Ligand,Receptor,2.471
78,Fibroblast,MSC,SDC1,HSPG2,Ligand,Receptor,2.418
79,Neural,MSC,COL8A1,ITGA1,Ligand,Receptor,2.44
80,MSC,MSC,COL8A1,ITGA1,Ligand,Receptor,2.562
81,Fibroblast,MSC,COL8A1,ITGA1,Ligand,Receptor,2.5860000000000003
82,Neural,MSC,LAMC1,ITGA1,Ligand,Receptor,2.489
83,MSC,MSC,LAMC1,ITGA1,Ligand,Receptor,2.7030000000000003
84,Fibroblast,MSC,LAMC1,ITGA1,Ligand,Receptor,2.641
85,Neural,Neural,CALM1,FAS,Ligand,Receptor,2.441
86,Neural,MSC,CALM1,FAS,Ligand,Receptor,2.548
87,Neural,Fibroblast,CALM1,FAS,Ligand,Receptor,2.441
88,Fibroblast,Neural,DKK1,LRP6,Ligand,Receptor,2.39
89,Fibroblast,MSC,DKK1,LRP6,Ligand,Receptor,2.442
90,Fibroblast,Fibroblast,DKK1,LRP6,Ligand,Receptor,2.34
91,Neural,Fibroblast,FZR1,ITGAE,Ligand,Receptor,2.458
92,MSC,Fibroblast,FZR1,ITGAE,Ligand,Receptor,2.555
93,Fibroblast,Fibroblast,FZR1,ITGAE,Ligand,Receptor,2.408
94,Neural,MSC,COL4A1,ITGA1,Ligand,Receptor,2.4290000000000003
95,MSC,MSC,COL4A1,ITGA1,Ligand,Receptor,2.602
96,Fibroblast,MSC,COL4A1,ITGA1,Ligand,Receptor,2.675
97,Neural,MSC,LTBP1,ITGB5,Ligand,Receptor,2.425
98,MSC,MSC,LTBP1,ITGB5,Ligand,Receptor,2.6010000000000004
99,Fibroblast,MSC,LTBP1,ITGB5,Ligand,Receptor,2.503
100,MSC,Neural,GABPB1,TFR2,Ligand,Receptor,2.387
101,MSC,MSC,GABPB1,TFR2,Ligand,Receptor,2.387
102,MSC,Fibroblast,GABPB1,TFR2,Ligand,Receptor,2.451
103,MSC,Megakaryocyte,GABPB1,TFR2,Ligand,Receptor,2.387
104,Neural,MSC,SERPINE1,ITGB5,Ligand,Receptor,2.444
105,MSC,MSC,SERPINE1,ITGB5,Ligand,Receptor,2.444
106,Fibroblast,MSC,SERPINE1,ITGB5,Ligand,Receptor,2.602
