Ligand,Receptor,Ligand.Cluster,Receptor.Cluster,isReceptor_fst,isReceptor_scn,MeanLR
EFNB1,EPHB4,Megakaryocyte,Megakaryocyte,False,True,2.485
IL15,IL15RA,Fibroblast,Fibroblast,False,True,2.386
CDH1,KLRG1,Neural,MSC,False,True,2.47
SGPP1,CD44,MSC,Neural,False,True,2.407
OSM,IL6ST,MSC,MSC,False,True,2.463
BDNF,NGFR,Megakaryocyte,MSC,False,True,2.363
TGM2,ITGA4,MSC,Megakaryocyte,False,True,2.365
PSEN1,CD44,MSC,Neural,False,True,2.386
RARRES2,CCRL2,MSC,Neural,False,True,2.678
APP,NGFR,MSC,MSC,False,True,2.347
NPPA,NPR3,Neural,MSC,False,True,2.347
CR1,CD55,Neural,Neural,True,True,2.593
PSEN1,NCSTN,MSC,Neural,False,False,2.3
ADIPOR1,ADIPOR1,Neural,Neural,True,True,3.1510000000000002
APP,NCSTN,MSC,Neural,False,False,2.2640000000000002
PSAP,SORT1,Megakaryocyte,MSC,False,True,2.4459999999999997
SEMA7A,ITGA1,Neural,MSC,False,True,2.565
EFNB1,ERBB2,MSC,MSC,False,True,2.4619999999999997
LTA4H,LTBR,Neural,MSC,False,True,2.301
PTDSS1,JMJD6,Megakaryocyte,Neural,False,False,2.451
NID1,PTPRF,MSC,Neural,False,True,2.316
NID1,PTPRF,Fibroblast,Neural,False,True,2.318
GABPB1,TFR2,MSC,Neural,False,True,2.67
GABPB1,TFR2,Megakaryocyte,Neural,False,True,2.4930000000000003
CD2BP2,CD58,Neural,Fibroblast,False,False,2.5980000000000003
CD2BP2,CD58,MSC,Fibroblast,False,False,2.6430000000000002
BDNF,NTRK2,Fibroblast,MSC,False,True,2.273
BDNF,NTRK2,Megakaryocyte,MSC,False,True,2.279
COL4A1,CD93,MSC,MSC,False,True,2.5069999999999997
COL4A1,CD93,MSC,Megakaryocyte,False,True,2.511
SGPP1,ITGA4,MSC,Megakaryocyte,False,True,2.3930000000000002
SGPP1,ITGA4,MSC,Myeloid,False,True,2.2769999999999997
ITPK1,INSR,Megakaryocyte,MSC,False,True,2.636
ITPK1,INSR,Megakaryocyte,Fibroblast,False,True,2.593
FZR1,ITGAE,Neural,Megakaryocyte,False,True,2.559
FZR1,ITGAE,Megakaryocyte,Megakaryocyte,False,True,2.397
ADGRE5,CD55,Fibroblast,Neural,True,True,2.616
ADGRE5,CD55,Myeloid,Neural,True,True,2.614
BDNF,SORT1,Fibroblast,MSC,False,True,2.3480000000000003
BDNF,SORT1,Megakaryocyte,MSC,False,True,2.354
TNFRSF14,BTLA,MSC,MSC,True,True,2.372
TNFRSF14,BTLA,Megakaryocyte,MSC,True,True,2.438
DUSP18,ITGA1,Neural,MSC,False,True,2.403
DUSP18,ITGA1,MSC,MSC,False,True,2.506
CXCL8,CD79A,Neural,Fibroblast,False,True,2.4019999999999997
CXCL8,CD79A,Fibroblast,Fibroblast,False,True,2.3569999999999998
LTA4H,TNFRSF1A,Neural,MSC,False,True,2.364
LTA4H,TNFRSF1A,MSC,Megakaryocyte,False,True,2.34
RHAG,ICAM4,Neural,Neural,False,False,2.605
RHAG,ICAM4,Neural,Megakaryocyte,False,False,2.708
CALM2,INSR,MSC,MSC,False,True,2.421
CALM2,INSR,Neural,Fibroblast,False,True,2.432
CALM1,FAS,Megakaryocyte,Neural,False,True,2.342
CALM1,FAS,Myeloid,Neural,False,True,2.335
HSP90AA1,ERBB2,Fibroblast,MSC,False,True,2.476
HSP90AA1,ERBB2,Megakaryocyte,MSC,False,True,2.438
CTHRC1,FZD5,MSC,MSC,False,True,2.4219999999999997
CTHRC1,FZD5,Fibroblast,MSC,False,True,2.424
HMMR,CALM1,Neural,Fibroblast,False,False,2.233
HMMR,CALM1,Neural,Megakaryocyte,False,False,2.261
NUCB2,ERAP1,Megakaryocyte,MSC,False,False,2.392
NUCB2,ERAP1,Megakaryocyte,Fibroblast,False,False,2.463
NAMPT,INSR,Neural,MSC,False,True,2.404
NAMPT,INSR,MSC,MSC,False,True,2.479
NAMPT,INSR,MSC,Fibroblast,False,True,2.437
COL4A1,ITGA1,Neural,MSC,False,True,2.36
COL4A1,ITGA1,MSC,MSC,False,True,2.5669999999999997
COL4A1,ITGA1,Fibroblast,MSC,False,True,2.428
COL6A1,ITGA1,MSC,Neural,False,True,2.375
COL6A1,ITGA1,MSC,MSC,False,True,2.589
COL6A1,ITGA1,MSC,Myeloid,False,True,2.334
IGF2R,IGF2R,MSC,Neural,True,True,2.352
IGF2R,IGF2R,Neural,MSC,True,True,2.352
IGF2R,IGF2R,MSC,MSC,True,True,2.5580000000000003
IGF2R,INSR,MSC,MSC,True,True,2.562
IGF2R,INSR,MSC,Fibroblast,True,True,2.52
IGF2R,INSR,MSC,Megakaryocyte,True,True,2.439
ITPK1,IDE,Megakaryocyte,MSC,False,True,2.546
ITPK1,IDE,Megakaryocyte,Fibroblast,False,True,2.617
ITPK1,IDE,Megakaryocyte,Megakaryocyte,False,True,2.443
COL4A2,CD93,MSC,MSC,False,True,2.499
COL4A2,CD93,MSC,Megakaryocyte,False,True,2.503
COL4A2,CD93,Myeloid,Megakaryocyte,False,True,2.327
KCNN4,CALM1,Neural,Fibroblast,False,False,2.262
KCNN4,CALM1,Neural,Megakaryocyte,False,False,2.29
KCNN4,CALM1,Neural,Myeloid,False,False,2.282
SEMA4D,ERBB2,Megakaryocyte,Neural,True,True,2.519
