"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Neural","Neural","ITGB1|R","FOXO3|TF","Receptor","Transcription Factor",0.472688893374026
"Neural","Neural","IGF1R|R","HOXA10|TF","Receptor","Transcription Factor",0.323883782427557
"Neural","Neural","CD40|R","IRF1|TF","Receptor","Transcription Factor",0.279119490123572
"Neural","Neural","TNFRSF1B|R","IRF1|TF","Receptor","Transcription Factor",0.279119490123572
"Neural","Neural","FGFR4|R","SOX10|TF","Receptor","Transcription Factor",0.166536678001166
"Neural","Neural","CXCR4|R","STAT2|TF","Receptor","Transcription Factor",0.423343305611172
"Neural","Neural","IL6ST|R","STAT2|TF","Receptor","Transcription Factor",0.423343305611172
"Neural","Neural","CXCL12|R","STAT2|TF","Receptor","Transcription Factor",0.423343305611172
"Neural","Neural","IL6ST|R","STAT4|TF","Receptor","Transcription Factor",0.542076608648443
"Neural","Neural","IL4R|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","INSR|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","KIT|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","PDGFRB|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","IL2RG|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","GHR|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","PDGFRA|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","MERTK|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","AXL|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","HBEGF|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","IL6ST|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","CXCL12|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","CD40|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","CXCR4|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","NRG1|R","STAT5A|TF","Receptor","Transcription Factor",0.56701610118509
"Neural","Neural","MERTK|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","INSR|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","KIT|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","CXCR4|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","PDGFRB|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","PDGFRA|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","AXL|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","CXCL12|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","IL2RG|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","NRG1|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","IL4R|R","STAT5B|TF","Receptor","Transcription Factor",0.524218770893675
"Neural","Neural","CSRNP3|TF","CLEC11A|L","Transcription Factor","Ligand",0.10486272911854
"Neural","Neural","CSRNP3|TF","CXCL12|L","Transcription Factor","Ligand",0.10486272911854
"Neural","Neural","GATA1|TF","PF4|L","Transcription Factor","Ligand",0.243823786409908
"Neural","Neural","GATA2|TF","ICAM4|L","Transcription Factor","Ligand",0.154429965048101
"Neural","Neural","IRF1|TF","HLA-G|L","Transcription Factor","Ligand",0.279119490123572
"Neural","Neural","MYNN|TF","LTBP3|L","Transcription Factor","Ligand",0.299492511837286
"Neural","Neural","NOBOX|TF","PF4|L","Transcription Factor","Ligand",0.10168497372569
"Neural","Neural","PBX1|TF","PF4|L","Transcription Factor","Ligand",0.0810057423896652
"Neural","Neural","PBX1|TF","IL16|L","Transcription Factor","Ligand",0.0810057423896652
"Neural","Neural","SP100|TF","FGF7|L","Transcription Factor","Ligand",0.432436926181698
"Neural","Neural","SP100|TF","HLA-F|L","Transcription Factor","Ligand",0.432436926181698
"Neural","Neural","TBX3|TF","EFNB1|L","Transcription Factor","Ligand",0.333939401984433
"Neural","Neural","TGIF1|TF","CXCL8|L","Transcription Factor","Ligand",0.401249773644398
"Neural","Neural","TGIF1|TF","NPPA|L","Transcription Factor","Ligand",0.401249773644398
"Neural","Neural","ZNF140|TF","SEMA7A|L","Transcription Factor","Ligand",0.0934587184046601
"Neural","Neural","ZNF195|TF","LGALS9|L","Transcription Factor","Ligand",0.00861151141815832
"Neural","Neural","ZNF300|TF","CXCL8|L","Transcription Factor","Ligand",0.0679855140220378
"Neural","Neural","ZNF318|TF","LGALS1|L","Transcription Factor","Ligand",0.376144830945981
"Neural","Neural","ZNF322|TF","IL16|L","Transcription Factor","Ligand",0.166433311292603
"Neural","Neural","ZNF341|TF","COL6A3|L","Transcription Factor","Ligand",0.0422724852827051
"Neural","Neural","ZNF341|TF","HLA-F|L","Transcription Factor","Ligand",0.0422724852827051
"Neural","Neural","ZNF394|TF","PF4|L","Transcription Factor","Ligand",0.514123473745252
"Neural","Neural","ZNF438|TF","LGALS1|L","Transcription Factor","Ligand",0.16506405290255
"Neural","Neural","ZNF536|TF","SEMA7A|L","Transcription Factor","Ligand",0.0314774203415261
"MSC","MSC","ZNF692|TF","EGFL8|L","Transcription Factor","Ligand",0.367162294421087
"Fibroblast","Fibroblast","SCX|TF","LGALS1|L","Transcription Factor","Ligand",0.10037957568612
"Fibroblast","Fibroblast","SCX|TF","LTBP3|L","Transcription Factor","Ligand",0.10037957568612
"Fibroblast","Fibroblast","TCF23|TF","CLEC11A|L","Transcription Factor","Ligand",0.412389556180315
"Megakaryocyte","Megakaryocyte","BCL11B|TF","CCL5|L","Transcription Factor","Ligand",0.176266950060243
"Megakaryocyte","Megakaryocyte","BCL11B|TF","CLEC2D|L","Transcription Factor","Ligand",0.176266950060243
"Megakaryocyte","Megakaryocyte","BCL11B|TF","LGALS9|L","Transcription Factor","Ligand",0.176266950060243
"Megakaryocyte","Megakaryocyte","BHLHE41|TF","CCL28|L","Transcription Factor","Ligand",0.979366443518761
"Megakaryocyte","Megakaryocyte","ESRRG|TF","APOE|L","Transcription Factor","Ligand",1.04346499443963
"Megakaryocyte","Megakaryocyte","ETV5|TF","EFNB1|L","Transcription Factor","Ligand",0.947190238109496
"Megakaryocyte","Megakaryocyte","ETV5|TF","ICAM4|L","Transcription Factor","Ligand",0.947190238109496
"Megakaryocyte","Megakaryocyte","ETV5|TF","PPBP|L","Transcription Factor","Ligand",0.947190238109496
"Megakaryocyte","Megakaryocyte","ETV5|TF","TGFB1|L","Transcription Factor","Ligand",0.947190238109496
"Megakaryocyte","Megakaryocyte","ETV5|TF","VCAM1|L","Transcription Factor","Ligand",0.947190238109496
