,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
0,Megakaryocyte,Megakaryocyte,EFNB1,EPHB4,Ligand,Receptor,2.485
1,Fibroblast,Fibroblast,IL15,IL15RA,Ligand,Receptor,2.386
2,Neural,MSC,CDH1,KLRG1,Ligand,Receptor,2.47
3,MSC,Neural,SGPP1,CD44,Ligand,Receptor,2.407
4,MSC,MSC,OSM,IL6ST,Ligand,Receptor,2.463
5,Megakaryocyte,MSC,BDNF,NGFR,Ligand,Receptor,2.363
6,MSC,Megakaryocyte,TGM2,ITGA4,Ligand,Receptor,2.365
7,MSC,Neural,PSEN1,CD44,Ligand,Receptor,2.386
8,MSC,Neural,RARRES2,CCRL2,Ligand,Receptor,2.678
9,MSC,MSC,APP,NGFR,Ligand,Receptor,2.347
10,Neural,MSC,NPPA,NPR3,Ligand,Receptor,2.347
11,Neural,Neural,CR1,CD55,Ligand,Receptor,2.593
12,MSC,Neural,PSEN1,NCSTN,Ligand,Receptor,2.3
13,Neural,Neural,ADIPOR1,ADIPOR1,Ligand,Receptor,3.151
14,MSC,Neural,APP,NCSTN,Ligand,Receptor,2.264
15,Megakaryocyte,MSC,PSAP,SORT1,Ligand,Receptor,2.446
16,Neural,MSC,SEMA7A,ITGA1,Ligand,Receptor,2.565
17,MSC,MSC,EFNB1,ERBB2,Ligand,Receptor,2.462
18,Neural,MSC,LTA4H,LTBR,Ligand,Receptor,2.301
19,Megakaryocyte,Neural,PTDSS1,JMJD6,Ligand,Receptor,2.451
20,MSC,Neural,NID1,PTPRF,Ligand,Receptor,2.316
21,Fibroblast,Neural,NID1,PTPRF,Ligand,Receptor,2.318
22,MSC,Neural,GABPB1,TFR2,Ligand,Receptor,2.67
23,Megakaryocyte,Neural,GABPB1,TFR2,Ligand,Receptor,2.4930000000000003
24,Neural,Fibroblast,CD2BP2,CD58,Ligand,Receptor,2.5980000000000003
25,MSC,Fibroblast,CD2BP2,CD58,Ligand,Receptor,2.643
26,Fibroblast,MSC,BDNF,NTRK2,Ligand,Receptor,2.273
27,Megakaryocyte,MSC,BDNF,NTRK2,Ligand,Receptor,2.279
28,MSC,MSC,COL4A1,CD93,Ligand,Receptor,2.507
29,MSC,Megakaryocyte,COL4A1,CD93,Ligand,Receptor,2.511
30,MSC,Megakaryocyte,SGPP1,ITGA4,Ligand,Receptor,2.393
31,MSC,Myeloid,SGPP1,ITGA4,Ligand,Receptor,2.277
32,Megakaryocyte,MSC,ITPK1,INSR,Ligand,Receptor,2.636
33,Megakaryocyte,Fibroblast,ITPK1,INSR,Ligand,Receptor,2.593
34,Neural,Megakaryocyte,FZR1,ITGAE,Ligand,Receptor,2.559
35,Megakaryocyte,Megakaryocyte,FZR1,ITGAE,Ligand,Receptor,2.397
36,Fibroblast,Neural,ADGRE5,CD55,Ligand,Receptor,2.616
37,Myeloid,Neural,ADGRE5,CD55,Ligand,Receptor,2.614
38,Fibroblast,MSC,BDNF,SORT1,Ligand,Receptor,2.3480000000000003
39,Megakaryocyte,MSC,BDNF,SORT1,Ligand,Receptor,2.354
40,MSC,MSC,TNFRSF14,BTLA,Ligand,Receptor,2.372
41,Megakaryocyte,MSC,TNFRSF14,BTLA,Ligand,Receptor,2.438
42,Neural,MSC,DUSP18,ITGA1,Ligand,Receptor,2.403
43,MSC,MSC,DUSP18,ITGA1,Ligand,Receptor,2.506
44,Neural,Fibroblast,CXCL8,CD79A,Ligand,Receptor,2.402
45,Fibroblast,Fibroblast,CXCL8,CD79A,Ligand,Receptor,2.357
46,Neural,MSC,LTA4H,TNFRSF1A,Ligand,Receptor,2.364
47,MSC,Megakaryocyte,LTA4H,TNFRSF1A,Ligand,Receptor,2.34
48,Neural,Neural,RHAG,ICAM4,Ligand,Receptor,2.605
49,Neural,Megakaryocyte,RHAG,ICAM4,Ligand,Receptor,2.708
50,MSC,MSC,CALM2,INSR,Ligand,Receptor,2.421
51,Neural,Fibroblast,CALM2,INSR,Ligand,Receptor,2.432
52,Megakaryocyte,Neural,CALM1,FAS,Ligand,Receptor,2.342
53,Myeloid,Neural,CALM1,FAS,Ligand,Receptor,2.335
54,Fibroblast,MSC,HSP90AA1,ERBB2,Ligand,Receptor,2.476
55,Megakaryocyte,MSC,HSP90AA1,ERBB2,Ligand,Receptor,2.438
56,MSC,MSC,CTHRC1,FZD5,Ligand,Receptor,2.422
57,Fibroblast,MSC,CTHRC1,FZD5,Ligand,Receptor,2.424
58,Neural,Fibroblast,HMMR,CALM1,Ligand,Receptor,2.233
59,Neural,Megakaryocyte,HMMR,CALM1,Ligand,Receptor,2.261
60,Megakaryocyte,MSC,NUCB2,ERAP1,Ligand,Receptor,2.392
61,Megakaryocyte,Fibroblast,NUCB2,ERAP1,Ligand,Receptor,2.463
62,Neural,MSC,NAMPT,INSR,Ligand,Receptor,2.404
63,MSC,MSC,NAMPT,INSR,Ligand,Receptor,2.479
64,MSC,Fibroblast,NAMPT,INSR,Ligand,Receptor,2.437
65,Neural,MSC,COL4A1,ITGA1,Ligand,Receptor,2.36
66,MSC,MSC,COL4A1,ITGA1,Ligand,Receptor,2.567
67,Fibroblast,MSC,COL4A1,ITGA1,Ligand,Receptor,2.428
68,MSC,Neural,COL6A1,ITGA1,Ligand,Receptor,2.375
69,MSC,MSC,COL6A1,ITGA1,Ligand,Receptor,2.589
70,MSC,Myeloid,COL6A1,ITGA1,Ligand,Receptor,2.334
71,MSC,Neural,IGF2R,IGF2R,Ligand,Receptor,2.352
72,Neural,MSC,IGF2R,IGF2R,Ligand,Receptor,2.352
73,MSC,MSC,IGF2R,IGF2R,Ligand,Receptor,2.5580000000000003
74,MSC,MSC,IGF2R,INSR,Ligand,Receptor,2.562
75,MSC,Fibroblast,IGF2R,INSR,Ligand,Receptor,2.52
76,MSC,Megakaryocyte,IGF2R,INSR,Ligand,Receptor,2.439
77,Megakaryocyte,MSC,ITPK1,IDE,Ligand,Receptor,2.546
78,Megakaryocyte,Fibroblast,ITPK1,IDE,Ligand,Receptor,2.617
79,Megakaryocyte,Megakaryocyte,ITPK1,IDE,Ligand,Receptor,2.443
80,MSC,MSC,COL4A2,CD93,Ligand,Receptor,2.499
81,MSC,Megakaryocyte,COL4A2,CD93,Ligand,Receptor,2.503
82,Myeloid,Megakaryocyte,COL4A2,CD93,Ligand,Receptor,2.327
83,Neural,Fibroblast,KCNN4,CALM1,Ligand,Receptor,2.262
84,Neural,Megakaryocyte,KCNN4,CALM1,Ligand,Receptor,2.29
85,Neural,Myeloid,KCNN4,CALM1,Ligand,Receptor,2.282
86,Megakaryocyte,Neural,SEMA4D,ERBB2,Ligand,Receptor,2.519
87,Megakaryocyte,MSC,SEMA4D,ERBB2,Ligand,Receptor,2.724
88,Megakaryocyte,Megakaryocyte,SEMA4D,ERBB2,Ligand,Receptor,2.519
89,Neural,MSC,SGPP1,ITGA5,Ligand,Receptor,2.352
90,MSC,MSC,SGPP1,ITGA5,Ligand,Receptor,2.454
91,Fibroblast,MSC,SGPP1,ITGA5,Ligand,Receptor,2.352
92,Neural,Neural,PTDSS1,SCARB1,Ligand,Receptor,2.28
93,Megakaryocyte,Neural,PTDSS1,SCARB1,Ligand,Receptor,2.448
94,Megakaryocyte,MSC,PTDSS1,SCARB1,Ligand,Receptor,2.358
95,Neural,MSC,IDE,IGF2R,Ligand,Receptor,2.37
96,MSC,MSC,IDE,IGF2R,Ligand,Receptor,2.472
97,Fibroblast,MSC,IDE,IGF2R,Ligand,Receptor,2.543
98,Megakaryocyte,Neural,CCL3,IDE,Ligand,Receptor,2.445
99,Megakaryocyte,MSC,CCL3,IDE,Ligand,Receptor,2.548
100,Megakaryocyte,Fibroblast,CCL3,IDE,Ligand,Receptor,2.619
101,Fibroblast,Neural,UBA52,ERBB2,Ligand,Receptor,2.471
102,Neural,MSC,UBA52,ERBB2,Ligand,Receptor,2.52
103,Fibroblast,MSC,UBA52,ERBB2,Ligand,Receptor,2.676
104,Neural,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.669
105,MSC,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.784
106,Megakaryocyte,Megakaryocyte,HLA-F,B2M,Ligand,Receptor,2.8710000000000004
107,Neural,MSC,TGM2,SDC4,Ligand,Receptor,2.3040000000000003
108,MSC,MSC,TGM2,SDC4,Ligand,Receptor,2.402
109,Fibroblast,MSC,TGM2,SDC4,Ligand,Receptor,2.374
110,MSC,Neural,TIMP3,ADAM17,Ligand,Receptor,2.494
111,MSC,MSC,TIMP3,ADAM17,Ligand,Receptor,2.676
112,MSC,Fibroblast,TIMP3,ADAM17,Ligand,Receptor,2.5810000000000004
113,Neural,MSC,ADAM17,ITGA5,Ligand,Receptor,2.339
114,MSC,MSC,ADAM17,ITGA5,Ligand,Receptor,2.521
115,Fibroblast,MSC,ADAM17,ITGA5,Ligand,Receptor,2.426
116,Neural,MSC,SEMA7A,ITGB1,Ligand,Receptor,2.477
117,Neural,Megakaryocyte,SEMA7A,ITGB1,Ligand,Receptor,2.611
118,Megakaryocyte,Megakaryocyte,SEMA7A,ITGB1,Ligand,Receptor,2.454
119,MSC,Fibroblast,HRAS,INSR,Ligand,Receptor,2.363
120,Fibroblast,MSC,HRAS,INSR,Ligand,Receptor,2.525
121,Fibroblast,Fibroblast,HRAS,INSR,Ligand,Receptor,2.483
122,Neural,MSC,VEGFA,NRP1,Ligand,Receptor,2.291
123,MSC,MSC,VEGFA,NRP1,Ligand,Receptor,2.445
124,Fibroblast,MSC,VEGFA,NRP1,Ligand,Receptor,2.42
125,Neural,MSC,VEGFB,NRP1,Ligand,Receptor,2.303
126,MSC,MSC,VEGFB,NRP1,Ligand,Receptor,2.406
127,Fibroblast,MSC,VEGFB,NRP1,Ligand,Receptor,2.303
128,MSC,Neural,COL8A1,ITGA1,Ligand,Receptor,2.469
129,MSC,MSC,COL8A1,ITGA1,Ligand,Receptor,2.6830000000000003
130,MSC,Myeloid,COL8A1,ITGA1,Ligand,Receptor,2.428
131,MSC,MSC,ARFGAP1,INSR,Ligand,Receptor,2.436
132,MSC,Fibroblast,ARFGAP1,INSR,Ligand,Receptor,2.394
133,Fibroblast,Fibroblast,ARFGAP1,INSR,Ligand,Receptor,2.313
134,Neural,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.362
135,MSC,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.465
136,Megakaryocyte,MSC,PDGFC,PDGFRB,Ligand,Receptor,2.592
137,MSC,Neural,SCGB3A1,FGFR4,Ligand,Receptor,2.347
138,Fibroblast,Neural,SCGB3A1,FGFR4,Ligand,Receptor,2.245
139,MSC,MSC,SCGB3A1,FGFR4,Ligand,Receptor,2.302
140,Neural,MSC,VEGFA,NRP2,Ligand,Receptor,2.384
