"","PC1","PC2","PC3","PC4","PC5","PC6"
"CALM2/Neural",-0.683770569815796,-0.00437571703106024,0.478850377464581,-0.00717669698315673,-0.0573818550581748,-0.085229782073506
"PSEN1/MSC",-0.6621125761894,0.253630593145711,0.61834444789213,-0.234073892964458,-0.0639835861115664,-0.0913421172021672
"HAS2/Fibroblast",-0.599292007675226,-0.0755270623298785,-0.460812855437038,0.450954821862833,-0.0334322531316226,0.0397240329590166
"CALM1/Neural",-1.26061203889443,6.61774533547608,-2.40309860760373,2.57138736072378,0.140747990022051,-0.218515940416176
"TGFB1/MSC",-0.688284191937226,0.626745372162556,0.832550788860844,-0.54702221032663,-0.111196891938987,-0.166510809891555
"CALM3/Neural",-0.683253158975154,-0.00425322767742775,0.478806749528075,-0.0074179338256736,-0.0570538168846771,-0.0846481020014754
"CD44/Fibroblast",-0.104184826368903,1.74087794922679,-3.68722219400929,0.185836802803089,-0.183735593010505,0.350168347320778
"SDC1/MSC",-1.68552547540913,12.5811556841164,-6.1074363624433,8.90913684505303,1.34377656931881,0.755107476970426
"NAMPT/Neural",-0.615246764458784,-0.493896450458714,0.190395476327178,0.394381231373166,0.0269586050310887,0.052832112855796
"NAMPT/MSC",-0.632353543966369,-0.371510541425203,0.262507155547158,0.293980459408978,0.00588886492301988,0.0183438362713836
"CCL5/Fibroblast",-0.639413721050143,-0.246745056895563,0.333768901119036,0.188888457511304,-0.00879357936222985,-0.00484179883204633
"CCL5/Megakaryocyte",-0.954849674006711,2.46017370916738,1.91506970036981,-2.0483792121369,-0.433582671444056,-0.695046734606024
"THBS1/Neural",-0.528122607302053,0.411807172861572,0.677666787065021,-0.405045785557515,0.0110512766834269,0.0441760110261617
"THBS1/MSC",-1.13736670184249,6.21008191819767,4.05042867412857,-5.2148549757046,-0.855336609915149,-1.35762063430078
"HRAS/Fibroblast",-0.777561570945382,0.984912072086713,1.05209874857874,-0.830496064514822,-0.1985492603248,-0.312683295560115
"UBA52/Megakaryocyte",-0.712022657779162,0.241808217066296,0.622569119771386,-0.210762643819068,-0.0957294528426675,-0.14749874077825
"FZR1/Neural",-0.766767698704086,0.608154721953216,0.83919404585642,-0.510365395657792,-0.161117007580017,-0.25481690113394
"FZR1/MSC",-0.632503327060771,-0.371546021105312,0.262519834114507,0.294050418038957,0.00579359321244285,0.018175306710336
"CALM2/MSC",-0.649592884960327,-0.249156032731845,0.33463005560654,0.193641602481865,-0.0152651929396938,-0.0162935928985976
"ADAM15/MSC",-0.337716605695799,0.204033442866074,0.520221858974767,-0.277197667421278,0.152542233812363,0.288895026118109
"ADAM15/Fibroblast",-0.237333751651774,0.101373450757159,0.441061171677258,-0.215692355906411,0.226580968451195,0.417082014245383
"ADAM15/Megakaryocyte",-0.425322433932351,-0.0695941914905839,0.386310055668827,-0.0194983751567043,0.11719666895861,0.220805565324346
"IGF2R/MSC",-0.843773962627798,2.30474945983217,-1.08598952041469,-0.0474184861975131,-0.325820408150956,-0.401721293398419
"IGF2R/Megakaryocyte",-0.776526898354003,1.53697695508892,-0.533829837397961,-0.0125827083088275,-0.21726052137143,-0.306415963490041
"WNT5A/Neural",-0.889754709334066,1.46408871952302,1.34425001725331,-1.21165771054273,-0.310665759830438,-0.499879848350275
"WNT5A/Fibroblast",-0.925891923223828,1.70840487405292,1.4886362062882,-1.41156077878349,-0.354028812125821,-0.571020817680404
"HRAS/MSC",-0.641714238339248,-0.247289808187289,0.333963205035583,0.189961871121591,-0.0102541614709703,-0.00742901050521194
"PSEN1/Neural",-0.640849939738607,-0.247085058418483,0.333889998006376,0.189558066088648,-0.00970411164912718,-0.0064564012678246
"PSEN1/Fibroblast",-0.640967027499944,-0.247112793436991,0.33389990904765,0.189612753854709,-0.00977858707625645,-0.00658814345837988
"TGFB1/Neural",-0.600372688946206,-0.111059036476172,0.401127482044789,0.0622619220491579,0.00585284301533168,0.0238462096676624
"TGFB1/Fibroblast",-0.671962835471332,0.504173417105177,0.760505592560684,-0.446254594122007,-0.0906267306462657,-0.132906257460819
"COL4A1/MSC",-0.515339275608922,0.541273461738651,0.747247916456103,-0.519408401562799,0.00899652312243318,0.0433201628526549
"COL4A1/Fibroblast",-0.353276016204644,1.46472838863324,1.22817544927639,-1.35383813375658,0.0407582641512668,0.118983704687146
"TGM2/MSC",-0.542476887377967,0.0290929664959543,0.466890590043435,-0.0731697435108797,0.0324888804643784,0.0737473230015105
"TGM2/Fibroblast",-0.599929104821437,2.29136905546989,1.74369948418073,-1.99736968387012,-0.187451368763926,-0.26522363266855
"ADAM12/MSC",-0.510239890603497,-0.216147026158393,0.322834490376807,0.128554859992227,0.0733714538271949,0.140500076174305
"ADAM12/Fibroblast",-0.428484083331394,0.0560948941760986,0.457241470311291,-0.126412098342747,0.104996061624116,0.202007357826497
"HMGB1/MSC",-0.751631227033319,0.611739945804353,0.837913292942578,-0.51743388427017,-0.151492345124603,-0.23778740968015
"HMGB1/Megakaryocyte",-0.74657184650556,0.612938380338536,0.837485035211589,-0.51979695142856,-0.148274249712629,-0.232094808726803
"VEGFA/MSC",-0.409090023688232,0.313564947742711,0.596927150841665,-0.352251946143395,0.0969544697034019,0.193347807868072
"VEGFA/Fibroblast",-0.497965670468405,0.166074580382502,0.533786493244591,-0.202350323831074,0.0506124632065321,0.108589130854094
"VEGFA/Myeloid",-0.366451229693801,0.197226900532784,0.52265428793196,-0.26377630684451,0.134264193411452,0.256563608879554
"DCUN1D1/MSC",-0.621213381409766,-0.368871736744164,0.261564200183748,0.288777308140878,0.0129746201574597,0.0308782240680741
"DCUN1D1/Myeloid",-0.609382738498262,-0.492507426591857,0.189899132070001,0.39164240141959,0.030688357314847,0.059429998219505
"SDC1/Fibroblast",-0.792041385262978,2.53009022088355,-1.36489059756555,0.813066811353617,-0.0704578574403036,-0.0734695086011568
"COL8A1/Neural",-0.585169358632156,-0.486771902240831,0.187849536484282,0.380333084243391,0.0460897894730902,0.0866739358133026
"COL8A1/MSC",-0.621737829959515,-0.242557901115467,0.332272229455332,0.180631440888546,0.00245243190538277,0.0150477350163318
"COL8A1/Fibroblast",-0.583369373564219,-0.486345533009317,0.187697174484447,0.3794923716097,0.0472346969338383,0.0886992027644462
"LAMC1/Neural",-0.498040573544869,1.17756135126512,1.09910191828134,-1.06944191737511,-0.030943965147023,-0.0134183362738988
"LAMC1/MSC",-0.4437232241414,1.82261798685078,1.44782243046881,-1.63676560052315,-0.0473381903926742,-0.0285050224567601
"LAMC1/Fibroblast",-0.402624776685998,1.32660090601861,1.16168898265582,-1.22239820913078,0.0195579637669567,0.078699023196068
"DKK1/Fibroblast",-0.856814765205996,1.21901521558505,1.2001344653669,-1.01026130428908,-0.269336380297358,-0.432336312180522
"FZR1/Fibroblast",-0.615239754739542,-0.493894790036037,0.190394882970964,0.394377957343865,0.0269630637294331,0.0528399999230479
"COL4A1/Neural",-0.385286052379834,0.0663274329553463,0.453584780208488,-0.146588800297282,0.132473691931659,0.25061235282649
"LTBP1/Neural",-0.615195539163243,-0.493884316530376,0.190391140297705,0.394357305756519,0.0269911876469337,0.0528897493881704
"LTBP1/MSC",-0.615205190226739,-0.493886602614092,0.190391957224146,0.39436181344456,0.0269850489432377,0.0528788904202449
"LTBP1/Fibroblast",-0.615223420013342,-0.493890920772221,0.190393500307425,0.394370327966416,0.0269734536140342,0.0528583790363855
"GABPB1/MSC",-0.753254303186115,0.484917634563636,0.767386533092277,-0.40828627472399,-0.142332892852605,-0.22437174785094
"SERPINE1/Neural",-0.609249750599763,-0.113161746595315,0.401878814670205,0.0664079033996735,0.000206944743351728,0.0138583398655636
"SERPINE1/MSC",-0.609249750599763,-0.113161746595315,0.401878814670205,0.0664079033996735,0.000206944743351728,0.0138583398655635
"SERPINE1/Fibroblast",-0.530128578180212,0.411332207833439,0.677836121149771,-0.404110039982194,0.00977828294944871,0.0419203191959414
"SERPINE1/Megakaryocyte",-0.609249750599763,-0.113161746595315,0.401878814670205,0.0664079033996735,0.000206944743351728,0.0138583398655635
"IGF1/MSC",-0.838228016697735,1.09697987243393,1.12789751216798,-0.910551776549468,-0.247325282845392,-0.396182836758463
"TGFB1/Megakaryocyte",-0.859073204454355,4.37943161916515,2.96691707977507,-3.71897561018529,-0.525491365390715,-0.815888987480384
"FN1/Fibroblast",-0.356679088634412,7.02719664304074,4.337664582859,-6.1214420387253,-0.409711650622914,-0.555426040298539
"APP/MSC",-0.989892038519604,2.3254351142643,1.84737206729446,-1.92362179054579,-0.445682013180775,-0.719233934394211
"MMP2/MSC",-0.641036835889503,0.00574677058436306,0.475233156576993,-0.0271361148630812,-0.0302006118541529,-0.0371476809515515
"MMP2/Fibroblast",-0.659400271642904,0.0013969545050017,0.476787552692515,-0.0185591701334501,-0.0418809502016791,-0.0578094409906338
"SDC1/Neural",-0.62664190254458,0.797752227485849,-0.623688309713465,-0.681385733072351,-0.347055893657868,-0.233733179923605
"SDC1/Megakaryocyte",-0.62664190254458,0.797752227485849,-0.623688309713465,-0.681385733072351,-0.347055893657868,-0.233733179923605
"NID1/MSC",-0.402272444525953,1.07380825191303,1.02033185012547,-1.00578122278709,0.0401595049162697,0.109576358913575
"CTHRC1/Fibroblast",-0.839672630380203,1.09663768134447,1.1280197933437,-0.909877045881253,-0.248244151227487,-0.397808254977798
"COL1A1/Fibroblast",-0.25589978533393,4.7751837084651,3.05718796644544,-4.21747935178386,-0.162210999612899,-0.167704569675287
"SEMA4C/Neural",-0.603986235073667,-0.42479297216179,-0.311869853345977,0.171062970067985,-0.11140993422773,-0.0230772502928407
"SEMA4C/MSC",-0.601228410400876,-0.455884061531784,-0.298570199710813,0.144368763156837,-0.116497287527871,-0.0261486443569307
"SEMA4C/Fibroblast",-0.601237034141587,-0.455886104269865,-0.298569469742985,0.144372791017928,-0.116502772790155,-0.0261583474259797
"SEMA4C/Megakaryocyte",-0.603986235073667,-0.42479297216179,-0.311869853345977,0.171062970067985,-0.11140993422773,-0.0230772502928407
"COL5A2/Neural",-0.385249526252637,-0.186540027380941,0.312254379637644,0.0701756888561098,0.152874358907609,0.281134356508631
"COL5A2/MSC",-0.516503096594417,0.540997783089809,0.747346429536972,-0.518864819853684,0.0082562574182202,0.0420106808084995
"COL5A2/Fibroblast",-0.401723889614104,-0.19044237177595,0.313648872836716,0.0778703112316218,0.142395593398333,0.262598100727154
"COL5A2/Megakaryocyte",-0.491957695388988,-0.33825444885898,0.250623172412067,0.228406269072994,0.0951897468767407,0.176311297820096
"COL6A3/Neural",-0.491684081353126,-0.33818963687346,0.250600012007944,0.228278473137044,0.0953637831818076,0.176619156742808
"COL6A3/MSC",-0.503310837952833,0.544122683000292,0.74622975421461,-0.525026481245706,0.0166473910964981,0.0568540514036291
"COL6A3/Fibroblast",-0.49122657303199,-0.338081265157104,0.250561285640802,0.228064786350386,0.0956547882009915,0.177133925725462
"COL6A3/Megakaryocyte",-0.489224974127019,-0.337607138898048,0.250391857784554,0.227129906658762,0.0969279351599206,0.179386040024573
"GNAI2/Fibroblast",-0.71660114708092,0.367161729037749,0.693620373884017,-0.317014838665964,-0.108830688525152,-0.167890854101674
"GNAI2/Myeloid",-1.18983461283061,3.92176874991122,2.78292383688296,-3.2393157174859,-0.705310992803544,-1.14232636817987
"NT5E/Neural",-0.493714729088949,-0.267041997077783,-0.0935175191150964,0.387403346043445,0.0830097148400967,0.188217118731583
"NT5E/MSC",-0.471484852496704,-0.445894954830406,-0.0169068150564263,0.229668636312361,0.0574682433622044,0.17740346455242
"NT5E/Fibroblast",-0.508532340047706,-0.0483424992016192,-0.186994602353167,0.572169570154527,0.121475053673397,0.214755396114798
"NT5E/Megakaryocyte",-0.493714729088949,-0.267041997077783,-0.0935175191150964,0.387403346043445,0.0830097148400967,0.188217118731583
"RSPO1/MSC",-0.770607855080301,0.60724508966228,0.839519100746014,-0.508571787396382,-0.163559596705838,-0.259137682487663
"VEGFB/Neural",-0.615032061345205,-0.493845592924587,0.190377302511476,0.394280950750749,0.0270951701660627,0.0530736877062011
"VEGFB/MSC",-0.614993533898485,-0.493836466783339,0.190374041307133,0.394262955872616,0.027119676126594,0.0531170371576958
"VEGFB/Fibroblast",-0.614959593052566,-0.493828427087478,0.190371168341402,0.39424710324188,0.0271412647108716,0.0531552259602031
"VEGFB/Megakaryocyte",-0.612919473016758,-0.493345176179518,0.190198479806651,0.39329423159981,0.0284389136685287,0.0554506826298264
"MFNG/MSC",-0.615008879080012,-0.493840101650501,0.190375340210629,0.394270123070016,0.0271099156490519,0.0530997714346089
"MFNG/Megakaryocyte",-0.684072183260641,-0.00444716135307721,0.478875907940294,-0.00703582339573196,-0.0575737009736928,-0.0855691448215249
"ADAM12/Neural",-0.420665262987102,-0.194929147303861,0.315252333405482,0.0867175568574077,0.130346737041933,0.241285652682785
"PKM/Fibroblast",-0.576486047729283,-0.105400897644883,0.399105519408294,0.0511051520334816,0.0210466015875409,0.0507225849287092
"TIMP3/Neural",-0.597582187275552,-0.489712190666351,0.188900271391208,0.386130789837311,0.0381941998847201,0.0727074443946208
"TIMP3/MSC",-0.621677696106723,-0.242543672083034,0.332267174931246,0.180603444603857,0.00249045586860283,0.0151152921635418
"TIMP3/Fibroblast",-0.597164752424337,-0.489613311302804,0.188864937091678,0.385935820019764,0.0384597155836081,0.0731771244111972
"TIMP3/Megakaryocyte",-0.597582187275552,-0.489712190666351,0.188900271391208,0.386130789837311,0.0381941998847201,0.0727074443946208
"COL5A1/Neural",-0.385575735965824,-0.186617297902317,0.312281992069003,0.0703280504682497,0.152666868334368,0.280767319157793
"COL5A1/MSC",-0.416059395865022,0.438352203974088,0.66818059177162,-0.457387927844007,0.0823336946520844,0.170266131117051
"COL5A1/Fibroblast",-0.284597880882034,0.216615874951361,0.515725557715691,-0.3020076415685,0.186329194237328,0.348661965148824
"SERPINA1/Neural",-0.61448903397973,-0.493716963990393,0.190331337276732,0.394027320886372,0.0274405708576307,0.0536846790965246
"SERPINA1/MSC",-0.614288744466918,-0.493669520660193,0.190314383518665,0.393933772373964,0.027567968004261,0.053910036373127
"SERPINA1/Fibroblast",-0.61448903397973,-0.493716963990393,0.190331337276732,0.394027320886372,0.0274405708576307,0.0536846790965246
"SERPINA1/Megakaryocyte",-0.614201239339961,-0.493648792991659,0.190306976536985,0.39389290166466,0.0276236269518179,0.0540084934357203
"ANGPT1/MSC",-0.474584381550849,0.550927226742033,0.74379816719884,-0.538443645189495,0.0349192838349873,0.0891758432540591
"COL6A2/MSC",-0.498279674026185,0.671752489906289,0.81646753945067,-0.63576714363215,0.00965882096286547,0.0472744507776949
"COL6A2/Fibroblast",-0.484878645076224,-0.33657760759267,0.250023957296701,0.22509988218552,0.0996924828421665,0.184276345359785
