"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"1","Megakaryocyte","Megakaryocyte","HLA-B","CD3D",1.89826783242937,"Ligand","Receptor"
"2","Megakaryocyte","Megakaryocyte","HLA-A","CD3D",1.15612715850606,"Ligand","Receptor"
"3","Megakaryocyte","Megakaryocyte","HLA-C","CD3D",1.32774698313692,"Ligand","Receptor"
"4","Megakaryocyte","Megakaryocyte","B2M","CD3D",2.82326481760696,"Ligand","Receptor"
"5","Megakaryocyte","MSC","HLA-A","APLP2",0.886874988164438,"Ligand","Receptor"
"6","Megakaryocyte","MSC","CD99","CD81",0.551178496271327,"Ligand","Receptor"
"7","Megakaryocyte","MSC","LGALS1","ITGB1",1.27808430458356,"Ligand","Receptor"
"8","Megakaryocyte","MSC","LTB","TNFRSF1A",0.993722708605918,"Ligand","Receptor"
"9","Megakaryocyte","MSC","PSAP","LRP1",0.638745580107849,"Ligand","Receptor"
"10","Megakaryocyte","MSC","HSP90B1","LRP1",0.76458664598915,"Ligand","Receptor"
"11","Megakaryocyte","Myeloid","LGALS1","PTPRC",1.10894746506616,"Ligand","Receptor"
"12","Megakaryocyte","Myeloid","LTB","TNFRSF1A",0.701001231861203,"Ligand","Receptor"
"13","Megakaryocyte","Myeloid","HLA-B","CANX",1.84357090499319,"Ligand","Receptor"
"14","Megakaryocyte","Myeloid","HMGB1","CXCR4",0.827499323175203,"Ligand","Receptor"
"15","Fibroblast","Fibroblast","LGALS1","ITGB1",2.11835016630863,"Ligand","Receptor"
"16","Fibroblast","MSC","CD99","CD81",0.549361755640368,"Ligand","Receptor"
"17","Fibroblast","MSC","COL1A1","ITGA1_ITGB1",1.08889749797784,"Ligand","Receptor"
"18","Fibroblast","MSC","COL1A1","DDR2",1.01369329807867,"Ligand","Receptor"
"19","Fibroblast","MSC","FN1","PLAUR",0.975358322079734,"Ligand","Receptor"
"20","Fibroblast","MSC","COL1A2","ITGA1_ITGB1",0.725845439553351,"Ligand","Receptor"
"21","Fibroblast","MSC","COL6A1","ITGA1_ITGB1",0.618302849053523,"Ligand","Receptor"
