"","source","target","gene_A","gene_B","MeanLR","type_gene_A","type_gene_B"
"1","Neural","Neural","B2M","TFRC",2.39694643231269,"Ligand","Receptor"
"2","Neural","MSC","HLA-A","APLP2",1.46313902428477,"Ligand","Receptor"
"3","Neural","MSC","GDF15","TGFBR2",0.355783424356428,"Ligand","Receptor"
"4","Neural","MSC","PSAP","LRP1",0.380873239115753,"Ligand","Receptor"
"5","Neural","MSC","LGALS3","ENG",0.588563980282477,"Ligand","Receptor"
"6","Neural","Megakaryocyte","CALM2","MYLK",0.746299057465361,"Ligand","Receptor"
"7","Neural","Megakaryocyte","CALM2","GP6",0.644471960042525,"Ligand","Receptor"
"8","Neural","Fibroblast","LGALS3","ENG",0.566507537737738,"Ligand","Receptor"
"9","MSC","Neural","TF","TFRC",0.558628198453766,"Ligand","Receptor"
"10","MSC","Neural","CP","SLC40A1",0.949366314810133,"Ligand","Receptor"
"11","MSC","MSC","APP","CD74",0.454021087520632,"Ligand","Receptor"
"12","MSC","MSC","APP","APLP2",0.237838752366679,"Ligand","Receptor"
"13","MSC","MSC","APP","LRP1",0.315036271410307,"Ligand","Receptor"
"14","MSC","MSC","ITGAV","THY1",0.359540348285834,"Ligand","Receptor"
"15","MSC","MSC","THBS1","CD36",0.374065019210289,"Ligand","Receptor"
"16","MSC","MSC","THBS1","LRP1",0.463688022032791,"Ligand","Receptor"
"17","MSC","MSC","THBS1","CD47",0.42631398978414,"Ligand","Receptor"
"18","MSC","MSC","COL1A1","ITGA11_ITGB1",0.814079679386943,"Ligand","Receptor"
"19","MSC","MSC","COL1A1","CD36",0.744310313984586,"Ligand","Receptor"
"20","MSC","MSC","COL1A1","DDR2",0.784843343943094,"Ligand","Receptor"
"21","MSC","MSC","FN1","ITGAV_ITGB1",0.521683438518243,"Ligand","Receptor"
"22","MSC","MSC","COL1A2","ITGA11_ITGB1",0.83653951039996,"Ligand","Receptor"
"23","MSC","MSC","COL1A2","CD36",0.766770144997603,"Ligand","Receptor"
"24","MSC","MSC","COL6A1","ITGA11_ITGB1",0.401893077766923,"Ligand","Receptor"
"25","MSC","MSC","COL6A2","ITGA11_ITGB1",0.687294158335901,"Ligand","Receptor"
"26","MSC","MSC","COL6A3","ITGA11_ITGB1",0.517094547425214,"Ligand","Receptor"
"27","MSC","MSC","HSPG2","ITGB1",0.413347593955102,"Ligand","Receptor"
"28","MSC","MSC","HSPG2","FGFR1",0.321964670917611,"Ligand","Receptor"
"29","MSC","MSC","HSPG2","LRP1",0.387797271577628,"Ligand","Receptor"
"30","MSC","MSC","APOE","LRP1",1.28446725301095,"Ligand","Receptor"
"31","MSC","MSC","LGALS1","ITGB1",0.884666712330661,"Ligand","Receptor"
"32","MSC","MSC","VCAN","ITGB1",0.945101759304487,"Ligand","Receptor"
"33","MSC","MSC","HGF","ITGB1",0.474067472782556,"Ligand","Receptor"
"34","MSC","MSC","MDK","LRP1",0.808727483348217,"Ligand","Receptor"
"35","MSC","MSC","CALR","ITGAV",0.515114172910739,"Ligand","Receptor"
"36","MSC","MSC","CALR","LRP1",0.560284168725812,"Ligand","Receptor"
"37","MSC","MSC","CXCL12","ITGB1",1.28541850797896,"Ligand","Receptor"
"38","MSC","MSC","CXCL12","ITGAV",1.21469818978641,"Ligand","Receptor"
"39","MSC","MSC","PGF","NRP2",0.411345654180253,"Ligand","Receptor"
"40","MSC","MSC","LUM","ITGB1",0.707106103823432,"Ligand","Receptor"
"41","MSC","MSC","COL16A1","ITGA11_ITGB1",0.383209045377387,"Ligand","Receptor"
"42","MSC","MSC","LGALS3BP","ITGB1",0.461355074238313,"Ligand","Receptor"
"43","MSC","MSC","CLEC11A","ITGB1",0.384546590168629,"Ligand","Receptor"
"44","MSC","MSC","CLEC11A","ITGA11",0.293738670573387,"Ligand","Receptor"
"45","MSC","MSC","COL11A1","ITGA11_ITGB1",0.332820763164615,"Ligand","Receptor"
"46","MSC","MSC","COL3A1","ITGA11_ITGB1",0.685533699584997,"Ligand","Receptor"
"47","MSC","MSC","COL5A1","ITGA11_ITGB1",0.348239001417104,"Ligand","Receptor"
"48","MSC","MSC","COL5A2","ITGA11_ITGB1",0.354941136900106,"Ligand","Receptor"
"49","MSC","MSC","COL5A3","ITGA11_ITGB1",0.368172057522082,"Ligand","Receptor"
"50","MSC","MSC","TIMP1","CD63",1.32974466341912,"Ligand","Receptor"
"51","MSC","MSC","TFPI","LRP1",0.470464996135804,"Ligand","Receptor"
"52","MSC","MSC","TIMP2","ITGB1",0.326024876737352,"Ligand","Receptor"
"53","MSC","MSC","COL3A1","DDR2",0.656297364141148,"Ligand","Receptor"
"54","MSC","MSC","PSAP","LRP1",0.398029447019561,"Ligand","Receptor"
"55","MSC","MSC","HLA-B","CANX",1.48029881169128,"Ligand","Receptor"
"56","MSC","MSC","SERPING1","LRP1",0.69902913130274,"Ligand","Receptor"
"57","MSC","MSC","SLPI","PLSCR1",0.420968572159509,"Ligand","Receptor"
"58","MSC","MSC","HSP90B1","LRP1",0.46124937231854,"Ligand","Receptor"
"59","MSC","MSC","SPARC","FGFR1",0.510879215871532,"Ligand","Receptor"
"60","MSC","MSC","SPARC","ENG",0.618386878110497,"Ligand","Receptor"
"61","MSC","MSC","MAML2","NOTCH3",0.440270945463307,"Ligand","Receptor"
"62","MSC","Megakaryocyte","APP","CD74",0.626426393484566,"Ligand","Receptor"
"63","MSC","Megakaryocyte","APP","RPSA",0.94389520646169,"Ligand","Receptor"
"64","MSC","Megakaryocyte","THBS1","CD36",0.65712355941992,"Ligand","Receptor"
"65","MSC","Megakaryocyte","THBS1","CD47",0.455021618928027,"Ligand","Receptor"
"66","MSC","Megakaryocyte","COL1A1","CD36",1.02736885419422,"Ligand","Receptor"
"67","MSC","Megakaryocyte","COL1A1","GP6",0.730666412921493,"Ligand","Receptor"
"68","MSC","Megakaryocyte","COL1A2","ITGA2B",1.01661892984987,"Ligand","Receptor"
"69","MSC","Megakaryocyte","COL1A2","CD36",1.04982868520723,"Ligand","Receptor"
"70","MSC","Megakaryocyte","COL1A2","GP6",0.75312624393451,"Ligand","Receptor"
"71","MSC","Megakaryocyte","COL6A1","GP6",0.318479811301474,"Ligand","Receptor"
"72","MSC","Megakaryocyte","COL6A2","GP6",0.603880891870452,"Ligand","Receptor"
"73","MSC","Megakaryocyte","COL6A3","GP6",0.433681280959765,"Ligand","Receptor"
