,ligand,receptor,ligand.name,receptor.name,ligand.synonyms,receptor.synonyms,ligand.altern.names,receptor.altern.names,source,PMIDs,cells.L,cells.R,remarks,Pair.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,Pair.Evidence
1,A2M,LRP1,Alpha-2-macroglobulin,Prolow-density lipoprotein receptor-related protein 1,"CPAMD5,FWP007","A2MR,APR",Alpha-2-M || C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5,LRP-1 || Alpha-2-macroglobulin receptor || A2MR || Apolipoprotein E receptor || APOER || CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subuni || LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subuni || LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domai || LRPICD),"fantom5,HPMR,HPRD",10652313,,,,A2M_LRP1,,,,,,,,,
3,AANAT,MTNR1B,Serotonin N-acetyltransferase,Melatonin receptor type 1B,SNAT,,Serotonin acetylase || EC 2.3.1.87 || Aralkylamine N-acetyltransferase || AA-NAT,Mel-1B-R || Mel1b receptor,"fantom5,HPMR",12943195,,,,AANAT_MTNR1B,,,,,,,,,
4,ACE,AGTR2,Angiotensin-converting enzyme,Type-2 angiotensin II receptor,"DCP,DCP1",,"ACE || EC 3.2.1.- || EC 3.4.15.1 || Dipeptidyl carboxypeptidase I || Kininase II || CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form",Angiotensin II type-2 receptor || AT2,"HPRD,fantom5",11459796,,,,ACE_AGTR2,,,,,,,,,
5,ACE,BDKRB2,Angiotensin-converting enzyme,B2 bradykinin receptor,"DCP,DCP1",BKR2,"ACE || EC 3.2.1.- || EC 3.4.15.1 || Dipeptidyl carboxypeptidase I || Kininase II || CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form",B2R || BK-2 receptor,"HPRD,fantom5",10748135,,,,ACE_BDKRB2,,,,,,,,,
6,ACTR2,ADRB2,Actin-related protein 2,Beta-2 adrenergic receptor,ARP2,"ADRB2R,B2AR",Actin-like protein 2,Beta-2 adrenoreceptor || Beta-2 adrenoceptor,reactome,,,,,ACTR2_ADRB2,,,,,,,,,
7,ACTR2,LDLR,Actin-related protein 2,Low-density lipoprotein receptor,ARP2,,Actin-like protein 2,LDL receptor,reactome,,,,,ACTR2_LDLR,,,,,,,,,
9,ADAM10,AXL,Disintegrin and metalloproteinase domain-containing protein 10,Tyrosine-protein kinase receptor UFO,"KUZ,MADM",UFO,ADAM 10 || EC 3.4.24.81 || CDw156 || Kuzbanian protein homolog || Mammalian disintegrin-metalloprotease || CD antigen CD156c,EC 2.7.10.1 || AXL oncogene,"fantom5,HPRD",7822279,,,,ADAM10_AXL,,,,,,,,,
10,ADAM10,EPHA3,Disintegrin and metalloproteinase domain-containing protein 10,Ephrin type-A receptor 3,"KUZ,MADM","ETK,ETK1,HEK,TYRO4",ADAM 10 || EC 3.4.24.81 || CDw156 || Kuzbanian protein homolog || Mammalian disintegrin-metalloprotease || CD antigen CD156c,EC 2.7.10.1 || EPH-like kinase 4 || EK4 || hEK4 || HEK || Human embryo kinase || Tyrosine-protein kinase TYRO4 || Tyrosine-protein kinase receptor ETK1 || Eph-like tyrosine kinase 1,"fantom5,HPRD",16239146,,,,ADAM10_EPHA3,,,,,,,,,
11,ADAM12,ITGA9,Disintegrin and metalloproteinase domain-containing protein 12,Integrin alpha-9,"MLTN,UNQ346/PRO545",,ADAM 12 || EC 3.4.24.- || Meltrin-alpha,Integrin alpha-RLC,"HPMR,fantom5",10944520,,,,ADAM12_ITGA9,,,,,,,,,
12,ADAM12,ITGB1,Disintegrin and metalloproteinase domain-containing protein 12,Integrin beta-1,"MLTN,UNQ346/PRO545","FNRB,MDF2,MSK12",ADAM 12 || EC 3.4.24.- || Meltrin-alpha,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,"HPMR,fantom5",10944520,,,,ADAM12_ITGB1,,,,,,,,,
13,ADAM12,SDC4,Disintegrin and metalloproteinase domain-containing protein 12,Syndecan-4,"MLTN,UNQ346/PRO545",,ADAM 12 || EC 3.4.24.- || Meltrin-alpha,SYND4 || Amphiglycan || Ryudocan core protein,"fantom5,HPMR",12509413,,,,ADAM12_SDC4,,,,,,,,,
14,ADAM15,ITGA5,Disintegrin and metalloproteinase domain-containing protein 15,Integrin alpha-5,MDC15,FNRA,"ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin",CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,"fantom5,HPMR","9914169,952",,,,ADAM15_ITGA5,,,,,,,,,
15,ADAM15,ITGA9,Disintegrin and metalloproteinase domain-containing protein 15,Integrin alpha-9,MDC15,,"ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin",Integrin alpha-RLC,"fantom5,HPMR",10944520,,,,ADAM15_ITGA9,,,,,,,,,
16,ADAM15,ITGAV,Disintegrin and metalloproteinase domain-containing protein 15,Integrin alpha-V,MDC15,"MSK8,VNRA,VTNR","ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin",Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain,fantom5,9914169,,,,ADAM15_ITGAV,,,,,,,,,
17,ADAM15,ITGB1,Disintegrin and metalloproteinase domain-containing protein 15,Integrin beta-1,MDC15,"FNRB,MDF2,MSK12","ADAM 15 || EC 3.4.24.- || Metalloprotease RGD disintegrin protein || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15 || MDC-15 || Metargidin",Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,"HPMR,fantom5","9914169,109",,,,ADAM15_ITGB1,,,,,,,,,
19,ADAM17,ERBB4,Disintegrin and metalloproteinase domain-containing protein 17,Receptor tyrosine-protein kinase erbB-4,"CSVP,TACE",HER4,ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b,EC 2.7.10.1 || Proto-oncogene-like protein c-ErbB-4 || Tyrosine kinase-type cell surface receptor HER4 || p180erbB4) [Cleaved into: ERBB4 intracellular domai || 4ICD || E4ICD || s80HER4),"fantom5,HPRD",15534001,,,,ADAM17_ERBB4,,,,,,,,,
20,ADAM17,ITGA5,Disintegrin and metalloproteinase domain-containing protein 17,Integrin alpha-5,"CSVP,TACE",FNRA,ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b,CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,"HPMR,fantom5",14970227,,,,ADAM17_ITGA5,,,,,,,,,
21,ADAM17,ITGB1,Disintegrin and metalloproteinase domain-containing protein 17,Integrin beta-1,"CSVP,TACE","FNRB,MDF2,MSK12",ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,"HPMR,fantom5",14970227,,,,ADAM17_ITGB1,,,,,,,,,
22,ADAM17,NOTCH1,Disintegrin and metalloproteinase domain-containing protein 17,Neurogenic locus notch homolog protein 1,"CSVP,TACE",TAN1,ADAM 17 || EC 3.4.24.86 || Snake venom-like protease || TNF-alpha convertase || TNF-alpha-converting enzyme || CD antigen CD156b,Notch 1 || hN1 || Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncatio || NEXT); Notch 1 intracellular domai || NICD),"HPRD,fantom5","10882063,96",,,,ADAM17_NOTCH1,,,,,,,,,
23,ADAM23,ITGA5,Disintegrin and metalloproteinase domain-containing protein 23,Integrin alpha-5,MDC3,FNRA,"ADAM 23 || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 3 || MDC-3",CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain,"fantom5,HPMR",10749942,,,,ADAM23_ITGA5,,,,,,,,,
25,ADAM28,ITGA4,Disintegrin and metalloproteinase domain-containing protein 28,Integrin alpha-4,"ADAM23,MDCL",CD49D,"ADAM 28 || EC 3.4.24.- || Epididymal metalloproteinase-like, disintegrin-like, and cysteine-rich protein II || eMDC II || Metalloproteinase-like, disintegrin-like, and cysteine-rich protein L || MDC-L",CD49 antigen-like family member D || Integrin alpha-IV || VLA-4 subunit alpha || CD antigen CD49d,"fantom5,HPRD",11724793,,,,ADAM28_ITGA4,,,,,,,,,
26,ADAM2,CD9,Disintegrin and metalloproteinase domain-containing protein 2,CD9 antigen,FTNB,"MIC3,TSPAN29,GIG2",ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta,5H9 antigen || Cell growth-inhibiting gene 2 protein || Leukocyte antigen MIC3 || Motility-related protein || MRP-1 || Tetraspanin-29 || Tspan-29 || p24 || CD antigen CD9,"fantom5,HPRD",10518536,,,,ADAM2_CD9,,,,,,,,,
27,ADAM2,ITGA6,Disintegrin and metalloproteinase domain-containing protein 2,Integrin alpha-6,FTNB,,ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta,CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p),"fantom5,HPMR",9889149,,,,ADAM2_ITGA6,,,,,,,,,
28,ADAM2,ITGA9,Disintegrin and metalloproteinase domain-containing protein 2,Integrin alpha-9,FTNB,,ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta,Integrin alpha-RLC,fantom5,21060781,,,,ADAM2_ITGA9,,,,,,,,,
29,ADAM2,ITGB1,Disintegrin and metalloproteinase domain-containing protein 2,Integrin beta-1,FTNB,"FNRB,MDF2,MSK12",ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta,Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29,"HPMR,fantom5",9889149,,,,ADAM2_ITGB1,,,,,,,,,
30,ADAM2,ITGB7,Disintegrin and metalloproteinase domain-containing protein 2,Integrin beta-7,FTNB,,ADAM 2 || Cancer/testis antigen 15 || CT15 || Fertilin subunit beta || PH-30 || PH30 || PH30-beta,Gut homing receptor beta subunit,fantom5,21060781,,,,ADAM2_ITGB7,,,,,,,,,
31,ADAM9,ITGA3,Disintegrin and metalloproteinase domain-containing protein 9,Integrin alpha-3,"KIAA0021,MCMP,MDC9,MLTNG",MSK18,ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase,CD49 antigen-like family member C || FRP-2 || Galactoprotein B3 || GAPB3 || VLA-3 subunit alpha || CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain,"HPRD,fantom5",15361064,,,,ADAM9_ITGA3,,,,,,,,,
32,ADAM9,ITGA6,Disintegrin and metalloproteinase domain-containing protein 9,Integrin alpha-6,"KIAA0021,MCMP,MDC9,MLTNG",,ADAM 9 || EC 3.4.24.- || Cellular disintegrin-related protein || Meltrin-gamma || Metalloprotease/disintegrin/cysteine-rich protein 9 || Myeloma cell metalloproteinase,CD49 antigen-like family member F || VLA-6 || CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha- || Alpha6p),"HPMR,fantom5,HPRD","10825303,15",,,,ADAM9_ITGA6,,,,,,,,,
